Item,Quantity,Total_Price,Link,Description
"ESP32 WROOM 32E N8","1","4,75 €","https://www.digikey.de/de/products/detail/espressif-systems/ESP32-WROOM-32E-N8/13159522","Microcontroller core"
"RP1","1","27,60 €","https://radiomasterrc.com/products/rp1-expresslrs-2-4ghz-nano-receiver?_pos=1&_sid=d08ce13fd&_ss=r&variant=46486355673280","ExpressLRS Receiver"
"OLED Display","1","4,45 €","https://www.amazon.de/gp/product/B0DKTVFQ2Q/ref=ox_sc_act_image_2?smid=A26LES7I7BJBD5&psc=1","Will display altitude, speed etc."
"PS2 Joysticks","2","7,78 €","https://funduinoshop.com/en/electronic-modules/keypads-and-buttons/joysticks/ps2-joystick-module-with-xh2.54-5p-socket","For Controlling the drones throttle, yaw, roll and pitch"
"AMS1117 3.3","1","1,00 €","https://de.aliexpress.com/item/1005002487704059.html","Steps down higher input voltage (like 5V) to a stable 3.3V"
"USB-C 16-Pin Female USB-C Receptacle","2","2,00 €","https://de.aliexpress.com/item/1005007419369264.html","Will connect the controller to my Laptop"
"MTS-102","5","2,19 €","https://de.aliexpress.com/item/1005011569938355.html","Toggle Switches for starting motors, landing gear, buzzer, auto flymode"
"RK09 Potentiometer","3","4,00 €","https://de.aliexpress.com/item/1005006818603740.html","Limiting the Motors"
"Female Pinheader 1x4","1","0,50 €","https://de.aliexpress.com/item/4001198421663.html","Connecting the OLED Screen to PCB"
"Male Pinheader 1x4","1","0,50 €","https://de.aliexpress.com/item/1005009093809440.html","Connecting the RP1 to PCB"
"Male Pinheader 1x5","2","1,00 €","https://de.aliexpress.com/item/1005009093809440.html","Connecting the PS2 Joysticks to PCB"
"LEDs","3","0,50 €","https://de.aliexpress.com/item/1005011922927796.html","For Feedback"
"Resisitor (3x 220, 6x 10k, 2x 5,1k)","8","0,50 €","https://de.aliexpress.com/item/1005009330094258.html","so the LEDs dont burn out"
"Capacitor (2x 100nF, 1x 10uF)","3","1,00 €","https://de.aliexpress.com/item/1005011747293156.html","filter high frequency noise out"
"3D Printing filament","1","11,50 €","https://eu.store.bambulab.com/de/products/petg-basic","To print the Case"
"PCB","1","15,00 €","https://jlcpcb.com/","Connects everything"
"Total","","81,58 €","",""
